# Constructed from biom file
# OTU ID	LSU_rRNA	taxonomy	taxid
21420	1.0	sk__Bacteria;k__;p__Candidatus_Margulisbacteria	1817808
36879	15.0	sk__Bacteria;k__;p__Candidatus_Marinimicrobia	62680
14533	44.0	sk__Bacteria;k__;p__Candidatus_Omnitrophica	67812
16815	1.0	sk__Bacteria;k__;p__Candidatus_Omnitrophica;c__;o__;f__;g__;s__Omnitrophica_bacterium_SCGC_AAA257-O07	1047007
36645	1.0	sk__Bacteria;k__;p__Candidatus_Pacebacteria	1752724
4476	6.0	sk__Bacteria;k__;p__Candidatus_Parcubacteria	221216
32582	2.0	sk__Bacteria;k__;p__Candidatus_Peregrinibacteria	1619053
30292	4.0	sk__Bacteria;k__;p__Candidatus_Poribacteria	265317
2965	1.0	sk__Bacteria;k__;p__Candidatus_Poribacteria;c__;o__;f__;g__;s__Candidatus_Poribacteria_bacterium_WGA-4E	857041
10679	1.0	sk__Bacteria;k__;p__Candidatus_Raymondbacteria	1817809
8515	4.0	sk__Bacteria;k__;p__Candidatus_Saccharibacteria	95818
28756	5.0	sk__Bacteria;k__;p__Candidatus_Schekmanbacteria	1817811
5174	3.0	sk__Bacteria;k__;p__Candidatus_Sumerlaeota	200295
20167	8.0	sk__Bacteria;k__;p__Candidatus_Tectomicrobia	1802339
12684	4.0	sk__Bacteria;k__;p__Candidatus_Woesebacteria	1752722
12923	6.0	sk__Bacteria;k__;p__Candidatus_Yonathbacteria	1817924
1198	3.0	sk__Bacteria;k__;p__Chlamydiae	204428
34868	4.0	sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia	204429
22107	1.0	sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales	51291
17827	17.0	sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales	1963360
17604	4.0	sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Criblamydiaceae	412447
23149	1.0	sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Criblamydiaceae;g__Estrella	483422
27480	5.0	sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae	92713
2248	1.0	sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Simkaniaceae	92712
31830	2.0	sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Simkaniaceae;g__Candidatus_Fritschea	206680
10817	3.0	sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Waddliaceae	92714
23279	203.0	sk__Bacteria;k__;p__Chloroflexi	200795
26654	19.0	sk__Bacteria;k__;p__Chloroflexi;c__;o__;f__;g__;s__Chloroflexi_bacterium_CSP1-4	1640513
23333	1.0	sk__Bacteria;k__;p__Chloroflexi;c__;o__;f__;g__;s__Chloroflexi_bacterium_GWB2_54_36	1797613
